Scientific_Name,en_uk,fr,es,nl,no,ar,da,de,it,ja,ko,pl,pt,pt_br,ru,sv,th,tr,uk,zh
Acanthiza lineata,Striated Thornbill,Acanthize ridé,Acantiza Estriada,Twijgdoornsnavel,stripetornsmett,Striated Thornbill,Striated Thornbill,Stricheldornschnabel,Striated Thornbill,ムナフトゲハシムシクイ,Striated Thornbill,buszówka kreskowana,Striated thornbill,Striated Thornbill,Пёстрая шилоклювка,Strimmig taggnäbb,Striated Thornbill,Çizgili Dikengaga,Шиподзьоб смугастоволий,纵纹刺嘴莺
Acanthiza nana,Yellow Thornbill,Acanthize nain,Acantiza Enana,Gele Doornsnavel,gultornsmett,Yellow Thornbill,Yellow Thornbill,Gelbbauch-Dornschnabel,Yellow Thornbill,ヒメトゲハシムシクイ,Yellow Thornbill,buszówka żółtobrzucha,Yellow thornbill,Yellow Thornbill,Жёлтая шипоклювка,Gul taggnäbb,Yellow Thornbill,Sarı Dikengaga,Шиподзьоб малий,小刺嘴莺
Acanthiza pusilla,Brown Thornbill,Acanthize mignon,Acantiza Parda,Bruine Doornsnavel,bruntornsmett,Brown Thornbill,Brown Thornbill,Roststirn-Dornschnabel,Brown Thornbill,チャイロトゲハシムシクイ,Brown Thornbill,buszówka brązowa,Brown thornbill,Brown Thornbill,Малая шипоклювка,Rostpannad taggnäbb,Brown Thornbill,Kahverengi Dikengaga,Шиподзьоб бурий,褐刺嘴莺
Acanthiza reguloides,Buff-rumped Thornbill,Acanthize à croupion beige,Acantiza Reguloide,Vaalstuitdoornsnavel,okergumptornsmett,Buff-rumped Thornbill,Buff-rumped Thornbill,Goldhähnchen-Dornschnabel,Buff-rumped Thornbill,ウグイストゲハシムシクイ,Buff-rumped Thornbill,buszówka zmienna,Buff-rumped thornbill,Buff-Rumped Thornbill,Корольковая шипоклювка,Ockragumpad taggnäbb,Buff-rumped Thornbill,Keten Belli Dikengaga,Шиподзьоб золотомушковий,棕尾刺嘴莺
Acanthiza uropygialis,Chestnut-rumped Thornbill,Acanthize à croupion roux,Acantiza Culirroja,Roodstaartdoornsnavel,kastanjegumptornsmett,Chestnut-rumped Thornbill,Chestnut-rumped Thornbill,Braunbürzel-Dornschnabel,Chestnut-rumped Thornbill,コシアカトゲハシムシクイ,Chestnut-rumped Thornbill,buszówka rudorzytna,Chestnut-rumped thornbill,Chestnut-Rumped Thornbill,Рыжепоясничная шипоклювка,Rödgumpad taggnäbb,Chestnut-rumped Thornbill,Kestane Belli Dikengaga,Шиподзьоб рудогузий,栗尾刺嘴莺
Acanthorhynchus superciliosus,Western Spinebill,Méliphage festonné,Picoespina Occidental,Roesthalshoningvogel,trikolorhonningeter,Western Spinebill,Western Spinebill,Buntkopf-Honigfresser,Western Spinebill,ニシキリハシミツスイ,Western Spinebill,miodopijek rdzawoszyi,Western spinebill,Western Spinebill,Западная титиара,Västlig sylnäbb,Western Spinebill,Hercai Kılgaga,Медолюб-шилодзьоб західний,西尖嘴吸蜜鸟
Acanthorhynchus tenuirostris,Eastern Spinebill,Méliphage à bec grêle,Picoespina Oriental,Zwarthalshoningvogel,prydhonningeter,Eastern Spinebill,Eastern Spinebill,Rotnacken-Honigfresser,Eastern Spinebill,キリハシミツスイ,Eastern Spinebill,miodopijek długodzioby,Eastern spinebill,Eastern Spinebill,Восточная титиара,Östlig sylnäbb,Eastern Spinebill,Kızıl Enseli Kılgaga,Медолюб-шилодзьоб східний,东尖嘴吸蜜鸟
Accipiter badius,Shikra,Épervier shikra,Gavilán Chikra,Shikra,shikrahauk,البيدق الآسيوي,Shikra,Schikrasperber,Shikra,タカサゴダカ,Shikra,krogulec mały,Shikra,Shikra,Тювик,Shikra,เหยี่ยวนกเขาชิครา,Şikra,Яструб туркестанський,褐耳鹰
Accipiter bicolor,Bicoloured Hawk,Épervier bicolore,Gavilán Bicolor,Roodbroeksperwer,indianerhauk,Bicolored Hawk,Bicolored Hawk,Zweifarbhabicht,Bicolored Hawk,モモアカハイタカ,Bicolored Hawk,krogulec dwubarwny,Bicolored Hawk,Bicolored Hawk,Двуцветный ястреб,Tvåfärgad hök,Bicolored Hawk,İki Renkli Atmaca,Яструб неотропічний,双色鹰
Accipiter cirrocephalus,Collared Sparrowhawk,Épervier à collier roux,Gavilán Acollarado,Grijskopsperwer,eukalyptushauk,Collared Sparrowhawk,Collared Sparrowhawk,Halsringsperber,Collared Sparrowhawk,アカエリツミ,Collared Sparrowhawk,krogulec obrożny,Collared Sparrowhawk,Collared Sparrowhawk,Ошейниковый перепелятник,Australisk sparvhök,Collared Sparrowhawk,Sidney Atmacası,Яструб австралійський,领雀鹰
Accipiter cooperii,Cooper's Hawk,Épervier de Cooper,Gavilán de Cooper,Coopers Sperwer,trostehauk,Cooper's Hawk,Cooper's Hawk,Rundschwanzhabicht,Cooper's Hawk,クーパーハイタカ,Cooper's Hawk,krogulec czarnołbisty,Cooper's Hawk,Cooper's Hawk,Куперов ястреб,Coopers hök,Cooper's Hawk,Cooper Atmacası,Яструб чорноголовий,库氏鹰
Accipiter fasciatus,Brown Goshawk,Autour australien,Azor Australiano,Australische Havik,bendelhauk,Brown Goshawk,Brown Goshawk,Bänderhabicht,Brown Goshawk,アカハラオオタカ,Brown Goshawk,krogulec brunatny,Brown Goshawk,Brown Goshawk,Бурый ястреб,Brun duvhök,Brown Goshawk,Kahverengi Çakır,Яструб бурий,褐鹰
Accipiter gentilis,Eurasian Goshawk,Autour des palombes,Azor Común,Havik,hønsehauk,باز,Duehøg,Habicht,Astore,オオタカ,참매,jastrząb,Northern Goshawk,Northern Goshawk,Тетеревятник,Duvhök,เหยี่ยวนกเขาท้องขาว,Çakır,Яструб великий,Northern Goshawk
Accipiter gularis,Japanese Sparrowhawk,Épervier du Japon,Gavilán Japonés,Kleine Sperwer,finkehauk,Japanese Sparrowhawk,Japanese Sparrowhawk,Trillersperber,Japanese Sparrowhawk,ツミ,조롱이,krogulec japoński,Japanese Sparrowhawk,Japanese Sparrowhawk,Малый перепелятник,Tajgahök,เหยี่ยวนกเขาพันธุ์ญี่ปุ่น,Japon Atmacası,Яструб японський,日本松雀鹰
Accipiter hiogaster,Variable Goshawk,Autour variable,Azor Variable,Grijs-rode Havik,protevshauk,Variable Goshawk,Variable Goshawk,Inselhabicht,Variable Goshawk,カワリオオタカ,Variable Goshawk,krogulec rdzawobrzuchy,Variable Goshawk,Variable Goshawk,Изменчивый ястреб,Variabel duvhök,Variable Goshawk,Değişken Çakır,Яструб індонезійський,杂色鹰
Accipiter melanoleucus,Black Goshawk,Autour noir,Azor Blanquinegro,Zwarte Havik,nonnehauk,Black Goshawk,Black Goshawk,Dominohabicht,Black Goshawk,オオハイタカ,Black Goshawk,jastrząb czarno-biały,Black Goshawk,Black Goshawk,Чёрно-белый ястреб,Svart duvhök,Black Goshawk,Kara Atmaca,Яструб чорний,Black Goshawk
Accipiter minullus,Little Sparrowhawk,Épervier minule,Gavilán Chico,Oost-Afrikaanse Dwergsperwer,dverghauk,Little Sparrowhawk,Little Sparrowhawk,Zwergsperber,Little Sparrowhawk,アフリカツミ,Little Sparrowhawk,krogulec skromny,Little Sparrowhawk,Little Sparrowhawk,Африканский перепелятник,Dvärghök,Little Sparrowhawk,Küçük Atmaca,Яструб савановий,非洲小雀鹰
Accipiter nisus,Eurasian Sparrowhawk,Épervier d'Europe,Gavilán Común,Sperwer,spurvehauk,باشق اوراسي,Spurvehøg,Sperber,Sparviere,ハイタカ,새매,krogulec,Gavião,Gavião,Перепелятник,Sparvhök,เหยี่ยวนกกระจอกใหญ่,Atmaca,Яструб малий,雀鹰
Accipiter novaehollandiae,Grey Goshawk,Autour blanc,Azor Gris,Grijze Havik,askehauk,Gray Goshawk,Gray Goshawk,Grauhabicht,Gray Goshawk,ハイイロオオタカ,Gray Goshawk,krogulec australijski,Gray Goshawk,Gray Goshawk,Светлый ястреб,Grå duvhök,Gray Goshawk,Gri Çakır,Яструб тасманійський,Gray Goshawk
Accipiter poliogaster,Grey-bellied Hawk,Autour à ventre gris,Azor Ventrigrís,Zuid-Amerikaanse Havik,gråbukhauk,Gray-bellied Hawk,Gray-bellied Hawk,Graubauchhabicht,Gray-bellied Hawk,セグロオオタカ,Gray-bellied Hawk,krogulec siwobrzuchy,Tauató-pintado,Tauató-Pintado,Серобрюхий ястреб,Gråbukig hök,Gray-bellied Hawk,Gri Karınlı Atmaca,Яструб сірочеревий,灰腹鹰
Accipiter soloensis,Chinese Sparrowhawk,Épervier de Horsfield,Gavilán Ranero,Chinese Sperwer,froskehauk,Chinese Sparrowhawk,Chinese Sparrowhawk,Froschsperber,Chinese Sparrowhawk,アカハラダカ,붉은배새매,krogulec chiński,Chinese Sparrowhawk,Chinese Sparrowhawk,Китайский тювик,Kinesisk sparvhök,เหยี่ยวนกเขาพันธุ์จีน,Çin Atmacası,Яструб китайський,赤腹鹰
Accipiter striatus,Sharp-shinned Hawk,Épervier brun,Gavilán Americano,Amerikaanse Sperwer,tverrhalehauk,Sharp-shinned Hawk,Sharp-shinned Hawk,Eckschwanzsperber,Sharp-shinned Hawk,アシボソハイタカ,Sharp-shinned Hawk,krogulec zmienny,Gavião-miúdo,Tauató-Miúdo,Американский перепелятник,Amerikansk sparvhök/Vitbröstad hök/Inkahök/Rostbyxvråk,Sharp-shinned Hawk,Amerika Atmacası,Яструб неоарктичний,纹腹鹰
Accipiter superciliosus,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,krogulczyk drobny,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,Tiny Hawk,侏鹰
Accipiter tachiro,African Goshawk,Autour tachiro,Azor Tachiro,Afrikaanse Havik,bantuhauk,African Goshawk,African Goshawk,Afrikahabicht,African Goshawk,アフリカオオタカ,African Goshawk,krogulec trzypręgowy,African Goshawk,African Goshawk,Африканский ястреб,Afrikansk duvhök,African Goshawk,Afrika Çakırı,Яструб ангольський,非洲鹰
Accipiter trinotatus,Spot-tailed Goshawk,Épervier à queue tachetée,Gavilán Colipinto,Vlekstaartsperwer,flekkhalehauk,Spot-tailed Goshawk,Spot-tailed Goshawk,Fleckschwanzsperber,Spot-tailed Goshawk,シラボシオオタカ,Spot-tailed Goshawk,krogulec plamosterny,Spot-tailed Goshawk,Spot-Tailed Goshawk,Пятнистохвостый перепелятник,Fläckstjärtad hök,Spot-tailed Goshawk,Benek Kuyruklu Atmaca,Яструб плямистохвостий,Spot-tailed Goshawk
Accipiter trivirgatus,Crested Goshawk,Autour huppé,Azor Moñudo,Kuifhavik,topphauk,Crested Goshawk,Crested Goshawk,Schopfhabicht,Crested Goshawk,カンムリオオタカ,Crested Goshawk,krogulec czubaty,Crested Goshawk,Crested Goshawk,Хохлатый ястреб,Tofsduvhök,เหยี่ยวนกเขาหงอน,Tepeli Çakır,Яструб чубатий,凤头鹰
Accipiter virgatus,Besra,Épervier besra,Gavilán Besra,Besrasperwer,besrahauk,Besra,Besra,Besrasperber,Besra,ミナミツミ,작은새매,krogulec orientalny,Besra,Besra,Индийский перепелятник,Besra,เหยี่ยวนกกระจอกเล็ก,Besra Atmacası,Яструб яванський,松雀鹰
Aceros nipalensis,Rufous-necked Hornbill,Calao à cou roux,Cálao del Nepal,Himalayajaarvogel,rødhalshornfugl,Rufous-necked Hornbill,Rufous-necked Hornbill,Nepalhornvogel,Rufous-necked Hornbill,ナナミゾサイチョウ,Rufous-necked Hornbill,dzioborożec rudy,Rufous-necked hornbill,Rufous-Necked Hornbill,Непальский калао,Rosthalsad näshornsfågel,นกเงือกคอแดง,Kızıl Boyunlu Boynuzgaga,Калао непальський,棕颈犀鸟
Achaetops pycnopygius,Rockrunner,Achétopse à flancs roux,Saltarrocas de Damara,Roodstuitrotszanger,steinhopper,Rockrunner,Rockrunner,Klippensänger,Rockrunner,イワトビムシクイ,Rockrunner,skalnik,Rockrunner,Rockrunner,Дамарский скалолаз,Damarasångare,Rockrunner,Damara Kayabülbülü,Куцохвостик малий,岩莺
Acridotheres burmannicus,Burmese Myna,Martin birman,Miná Birmano (burmannicus),Vinous-breasted Starling (Burmese),vinstær (burmannicus),زرزور خمريُّ الصدر (burmannicus),Burmastær,Burmamaina,Vinous-breasted Starling (Burmese),Burmese Myna,Burmese Myna,majna birmańska (burmannicus),Burmese myna,Burmese Myna,Бирманская майна (burmannicus),Vithuvad majna (burmannicus),นกกิ้งโครงหัวสีนวล (โคนปากเทา),Gri Enseli Çiğdeci,Майна бірманська,红嘴椋鸟
Acridotheres cristatellus,Crested Myna,Martin huppé,Miná Crestado,Kuifmaina,krøllstær,Crested Myna,Topmaina,Haubenmaina,Crested Myna,ハッカチョウ,뿔찌르레기,majna czubata,Mainato-de-poupa,Mainato-De-Poupa,Хохлатая майна,Kinesisk majna,นกเอี้ยงหงอนก้นลาย,Tepeli Çiğdeci,Майна чубата,八哥
Acridotheres fuscus,Jungle Myna,Martin forestier,Miná de la Jungla,Junglemaina,krattstær,Jungle Myna,Jungle Myna,Dschungelmaina,Jungle Myna,モリハッカ,Jungle Myna,majna szara,Jungle myna,Jungle Myna,Джунглевая майна,Djungelmajna,นกเอี้ยงควาย,Kurşuni Çiğdeci,Майна джунглева,丛林八哥
Acridotheres ginginianus,Bank Myna,Martin des berges,Miná Ribereño,Oevermaina,landsbystær,Bank Myna,Grå Maina,Ufermaina,Bank Myna,ハイイロハッカ,Bank Myna,majna norowa,Bank myna,Bank Myna,Береговая майна,Brinkmajna,Bank Myna,Dere Çiğdecisi,Майна берегова,灰背岸八哥
Acridotheres grandis,Great Myna,Grand Martin,Miná Grande,Grote Maina,engstær,Great Myna,Great Myna,Riesenmaina,Great Myna,オオハッカ,Great Myna,majna żałobna,Great myna,Great Myna,Чубатая майна,Tofsmajna,นกเอี้ยงหงอน,Büyük Çiğdeci,Майна велика,林八哥
Acridotheres javanicus,Javan Myna,Martin de Java,Miná de Java,Javaanse Maina,javastær,Javan Myna,Javan Myna,Javamaina,Javan Myna,ジャワハッカ,자바뿔찌르레기,majna jawajska,Javan myna,Javan Myna,Яванская майна,Javamajna,นกเอี้ยงชวา,Cava Çiğdecisi,Майна яванська,爪哇八哥
Acridotheres tristis,Common Myna,Martin triste,Miná Común,Treurmaina,hyrdestær,مينة شائعة,Maina,Hirtenmaina,Common Myna,インドハッカ,갈색찌르레기,majna brunatna,Mainato-de-mascarilha-amarela,Mainato-De-Mascarilha-Amarela,Майна,Brun majna,นกเอี้ยงสาริกา,Çiğdeci,Майна індійська,家八哥
Acris crepitans,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog,Northern Cricket Frog
Acris gryllus,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog,Southern Cricket Frog
Acrobatornis fonsecai,Pink-legged Graveteiro,Synallaxe à pattes roses,Graveteiro,Acrobaatje,rosenfotgraveteiro,Pink-legged Graveteiro,Pink-legged Graveteiro,Plantagenschlüpfer,Pink-legged Graveteiro,アクロバットカマドドリ,Pink-legged Graveteiro,koralonóżek,Acrobata,Acrobata,Гравитейро,Akrobatfågel,Pink-legged Graveteiro,Taklacı Sepetören,Кошикороб сірий,粉腿针尾雀
Acrocephalus agricola,Paddyfield Warbler,Rousserolle isabelle,Carricero Agrícola,Veldrietzanger,åkersanger,هازجة حقل الأرز,Lille Rørsanger,Feldrohrsänger,Cannaiola di Jerdon,イナダヨシキリ,북방쇠개개비,trzcinniczek kaspijski,Felosa-agrícola,Felosa-Agrícola,Индийская камышевка,Fältsångare,นกพงนาหิมาลัย,Doğu Kamışçını,Очеретянка індійська,稻田苇莺
Acrocephalus arundinaceus,Great Reed Warbler,Rousserolle turdoïde,Carricero Tordal,Grote Karekiet,trostesanger,هازجة القصب الكبيرة,Drosselrørsanger,Drosselrohrsänger,Cannareccione,ニシオオヨシキリ,Great Reed Warbler,trzciniak,Rouxinol-grande-dos-caniços,Rouxinol-Grande-Dos-Caniços,Дроздовидная камышевка,Trastsångare,Great Reed Warbler,Büyük Kamışçın,Очеретянка велика,大苇莺
Acrocephalus australis,Australian Reed Warbler,Rousserolle d'Australie,Carricero Australiano,Australische Karekiet,australtrostesanger,Australian Reed Warbler,Australian Reed Warbler,Australrohrsänger,Australian Reed Warbler,オーストラリアヨシキリ,Australian Reed Warbler,trzciniak australijski,Australian reed warbler,Australian Reed Warbler,Австралийская камышовка,Australisk rörsångare,Australian Reed Warbler,Avustralya Kamışçını,Очеретянка австралійська,澳洲苇莺
Acrocephalus baeticatus,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler
Acrocephalus bistrigiceps,Black-browed Reed Warbler,Rousserolle de Schrenck,Carricerín Cejinegro,Zwartbrauwrietzanger,tvebrynsanger,Black-browed Reed Warbler,Black-browed Reed Warbler,Brauenrohrsänger,Black-browed Reed Warbler,コヨシキリ,쇠개개비,trzcinniczek szerokobrewy,Black-browed reed warbler,Black-Browed Reed Warbler,Пестроголовая камышевка,Svartbrynad rörsångare,นกพงคิ้วดำ,Kara Kaşlı Kamışçın,Очеретянка чорноброва,黑眉苇莺
Acrocephalus concinens,Blunt-winged Warbler,Rousserolle de Swinhoe,Carricero de Swinhoe,Indische Veldrietzanger,buttvingesanger,Blunt-winged Warbler,Blunt-winged Warbler,Strauchrohrsänger,Blunt-winged Warbler,コバネヨシキリ,Blunt-winged Warbler,trzcinniczek krótkoskrzydły,Blunt-winged warbler,Blunt-Winged Warbler,Кустарниковая камышовка,Kortvingad rörsångare,นกพงนาพันธุ์จีน,Küt Kanatlı Kamışçın,Очеретянка тупокрила,钝翅苇莺
Acrocephalus dumetorum,Blyth's Reed Warbler,Rousserolle des buissons,Carricero de Blyth,Struikrietzanger,busksanger,هازجة قصب بلايث,Buskrørsanger,Buschrohrsänger,Cannaiola di Blyth,ヤブヨシキリ,덤불개개비,zaroślówka,Felosa-das-moitas,Felosa-Das-Moitas,Садовая камышевка,Busksångare,นกพงนาพันธุ์อินเดีย,Kuzey Kamışçını,Очеретянка садова,布氏苇莺
Acrocephalus gracilirostris,Lesser Swamp Warbler,Rousserolle à bec fin,Carricero Picofino,Kaapse Rietzanger,dunkjevlesanger,Lesser Swamp Warbler,Lesser Swamp Warbler,Kaprohrsänger,Lesser Swamp Warbler,アシナガヨシキリ,Lesser Swamp Warbler,trzciniak jasnobrewy,Lesser swamp warbler,Lesser Swamp Warbler,Капская камышовка,Mindre sumpsångare,Lesser Swamp Warbler,Küçük Bataklık Kamışçını,Очеретянка світлоброва,细嘴苇莺
Acrocephalus griseldis,Basra Reed Warbler,Rousserolle d'Irak,Carricero de Basora,Basrakarekiet,mesopotamiasanger,هازجة قصب البصرة,Basradrosselrørsanger,Basrarohrsänger,Basra Reed Warbler,バスラオオヨシキリ,Basra Reed Warbler,trzciniak perski,Rouxinol-grande-do-iraque,Rouxinol-Grande-Do-Iraque,Евфратская камышовка,Basrasångare,Basra Reed Warbler,Basra Kamışçını,Очеретянка ірацька,巴士拉苇莺
Acrocephalus melanopogon,Moustached Warbler,Lusciniole à moustaches,Carricerín Real,Zwartkoprietzanger,tamarisksanger,هازجة أم شارب,Tarmarisksanger,Mariskenrohrsänger,Forapaglie castagnolo,マミジロヨシキリ,Moustached Warbler,tamaryszka,Felosa-real,Felosa-Real,Тонкоклювая камышевка,Kaveldunsångare,Moustached Warbler,Bıyıklı Kamışçın,Очеретянка тонкодзьоба,须苇莺
Acrocephalus newtoni,Madagascar Swamp Warbler,Rousserolle de Newton,Carricero Malgache,Madagaskarrietzanger,damsanger,Madagascar Swamp Warbler,Madagascar Swamp Warbler,Madagaskarrohrsänger,Madagascar Swamp Warbler,マダガスカルアシナガヨシキリ,Madagascar Swamp Warbler,trzciniak madagaskarski,Madagascar swamp warbler,Madagascar Swamp Warbler,Мадагаскарская камышовка,Madagaskarrörsångare,Madagascar Swamp Warbler,Madagaskar Kamışçını,Очеретянка мадагаскарська,马岛沼泽苇莺
